product_id,product_name,category,unit_price
101,Laptop,Electronics,999.99
102,Smartphone,Electronics,699.50
103,Wireless Headphones,Accessories,149.99
104,Desk Chair,Furniture,199.00
105,Coffee Maker,Appliances,89.95
106,Yoga Mat,Sports,29.99
107,Blender,Appliances,49.99
108,Smart Watch,Electronics,249.00
109,Throw Pillow,Home Decor,24.50
110,Running Shoes,Footwear,119.95
111,Backpack,Accessories,59.99
112,Air Fryer,Appliances,79.99
113,Graphic T-Shirt,Apparel,19.99
114,External SSD,Electronics,129.00
115,Desk Lamp,Home Office,45.00
116,Water Bottle,Accessories,22.95
117,Jeans,Apparel,59.50
118,Board Game,Toys,39.99
119,Perfume,Beauty,89.00
120,Wall Clock,Home Decor,35.50
121,Fitness Tracker,Electronics,79.99
122,Cookware Set,Kitchen,299.00
123,Novel,Books,14.99
124,Sunglasses,Accessories,129.99
125,Bluetooth Speaker,Electronics,89.00
126,Throw Blanket,Home Decor,39.95
127,Dress Shirt,Apparel,49.99
128,Robot Vacuum,Appliances,349.00
129,Notebook,Stationery,12.99
130,Hand Mixer,Kitchen,45.99
131,Wireless Mouse,Electronics,29.99
132,Candle Set,Home Decor,28.50
133,Hoodie,Apparel,44.99
134,Drone,Electronics,499.00
135,Suitcase,Luggage,179.00
136,Electric Toothbrush,Health,99.95
137,Plant Pot,Home & Garden,19.99
138,Gaming Console,Electronics,449.00
139,Salad Spinner,Kitchen,24.99
140,Portable Charger,Electronics,35.00
141,Bath Towel Set,Home,32.99
142,Digital Camera,Electronics,599.00
143,Acrylic Paint Set,Arts,42.50
144,Keyboard,Electronics,129.99
145,Coasters,Home Decor,15.99
146,Snow Boots,Footwear,139.99
147,Face Cream,Beauty,29.50
148,Monitor,Electronics,279.00
149,Cast Iron Skillet,Kitchen,39.99
150,Wireless Earbuds,Electronics,159.99
151,Area Rug,Home Decor,199.00
152,Printer,Electronics,149.00
153,Coloring Book,Books,9.99
154,Necklace,Jewelry,89.99
155,Projector,Electronics,399.00
156,Bar Stool,Furniture,129.00
157,Shower Curtain,Home,24.99
158,Tablet,Electronics,329.00
159,Measuring Cups,Kitchen,18.99
